大区域,小区域,小区名,该房源建筑时间,小区建造时间,楼栋数量,房屋数量,地铁距离,物业公司,物业费,开发商,房屋类型,房源链接,房源标题,房源户型,房源楼层,房源总楼,电梯,装修,面积,朝向,住宅类型,关注,发布时间,房屋总价,房屋单价,笋度
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101327378.html,清江山水2.2期 2+1的户型 中间楼层 两证两年,2室2厅1厨1卫,高楼层 (共32层),['共32层'],有,简装,78.56㎡,南,普通住宅,10,2018-09-15,170,21640,1.0301818528039608
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101968250.html,清江山水一期  中间楼层 两证即将两年 无贷款,2室1厅1厨1卫,低楼层 (共25层),['共25层'],有,精装,55.01㎡,西,普通住宅,86,2019-03-31,128,23269,1.107731124440636
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104100602188.html,光谷软件园 清江山水 3期3房两卫 两证两年 清水毛坯,3室2厅1厨2卫,高楼层 (共32层),['共32层'],有,毛坯,115.95㎡,南,普通住宅,198,2017-09-15,250,21562,1.0264686280110444
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101400220.html,户型好，采光充足，视野开阔，业主诚心出售,3室2厅1厨1卫,低楼层 (共18层),['共18层'],有,精装,91.9㎡,南 北,普通住宅,23,2018-10-07,200,21763,1.0360373226697135
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101672569.html,光谷软件园 清江山水 两证满二 精装修,4室2厅1厨2卫,高楼层 (共33层),['共33层'],有,精装,106.75㎡,南,普通住宅,69,2018-12-31,232,21734,1.0346567647338856
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102109012.html,清江山水三期带装修南向两房高楼层诚心出售,2室2厅1厨1卫,高楼层 (共32层),['共32层'],有,简装,80.37㎡,东南,普通住宅,1,2019-05-01,185,23019,1.0958297629248785
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102110570.html,清江山水 精装三房 自住 满五年 诚心出售 看房方便,3室2厅1厨2卫,低楼层 (共18层),['共18层'],有,精装,139.27㎡,南 北,普通住宅,1,2019-05-01,308,22116,1.052842045129963
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101652717.html,清江山水2.2期 中间位置 纯毛坯 两证两年,4室1厅1厨2卫,低楼层 (共32层),['共32层'],有,毛坯,126.27㎡,南,普通住宅,12,2018-12-24,260,20591,0.9802437398838427
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101709112.html,清江山水三期  明厨明卫 客厅出阳台朝南,2室2厅1厨1卫,高楼层 (共32层),['共32层'],有,精装,81㎡,南,普通住宅,28,2019-01-14,175,21605,1.0285156621917548
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102168834.html,清江山水  南北向两房 看房有钥匙，急售,2室2厅1厨1卫,高楼层 (共11层),['共11层'],有,简装,61.37㎡,南 北,普通住宅,47,2019-05-13,130,21183,1.0084261639531562
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102066361.html,刚需3房 朝南户型 环境好 生活方便 全你一个温馨的家,3室2厅1厨1卫,低楼层 (共11层),['共11层'],有,精装,71.85㎡,南,普通住宅,5,2019-04-21,159,22130,1.0535085213748452
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101754656.html,清江山水 2室2厅 165万,2室2厅1厨1卫,低楼层 (共18层),['共18层'],有,精装,78.93㎡,南,普通住宅,48,2019-02-14,165,20905,0.995191849947634
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102134178.html,清江山水 二期 2+1户型 两证两年 居家装修,3室2厅1厨1卫,高楼层 (共32层),['共32层'],有,精装,78.34㎡,南,普通住宅,30,2019-05-06,158,20169,0.9601542416452442
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102152270.html,清江山水精装修三房拎包入住， 给自己一个回家的理由,3室2厅1厨1卫,低楼层 (共18层),['共18层'],有,精装,90.24㎡,南,普通住宅,10,2019-05-10,205,22718,1.0815005236599067
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102013722.html,清江山水 4室2厅 232万,4室2厅1厨2卫,高楼层 (共32层),['共32层'],有,精装,106.18㎡,南,普通住宅,33,2019-04-11,232,21850,1.040178996477197
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101177216.html,清江山水三期 次新房 高楼层 两证两年  视野开阔,3室2厅1厨2卫,高楼层 (共32层),['共32层'],有,简装,115.95㎡,南 北,普通住宅,13,2018-08-05,245,21130,1.0059030753118157
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101398132.html,清江山水3.3期纯毛坯次新房，大三房出售,3室2厅1厨2卫,低楼层 (共32层),['共32层'],有,毛坯,124.22㎡,南,普通住宅,41,2018-10-07,255,20529,0.9772922022279349
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101851916.html,清江山水  两证五年 南向经典户型 诚心出售,2室2厅1厨1卫,低楼层 (共18层),['共18层'],有,简装,74㎡,南,普通住宅,10,2019-03-07,160,21622,1.0293249547748262
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101629260.html,清江山水自住精装朝南两居室，诚心出售。,2室2厅1厨1卫,低楼层 (共18层),['共18层'],有,精装,73.41㎡,南,普通住宅,40,2018-12-16,150,20434,0.972769684851947
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102066733.html,清江山水2期 自住装修 换房诚售,2室2厅1厨1卫,中楼层 (共11层),['共11层'],有,精装,71.85㎡,南,普通住宅,16,2019-04-22,160,22269,1.0601256783776063
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102108975.html,清江山水一期  卧室全朝南 两证两年无贷款,3室2厅1厨1卫,低楼层 (共25层),['共25层'],有,精装,100.34㎡,南,普通住宅,5,2019-05-01,218,21727,1.0343235266114443
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102024565.html,清江山水3.3期毛坯四房，产证已办，诚心出售,4室2厅1厨2卫,中楼层 (共18层),['共18层'],有,毛坯,139.6㎡,南 北,普通住宅,4,2019-04-13,335,23998,1.1424354946205846
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101353834.html,光谷软件园 清江山水 3期 采光充足 诚心出售,3室2厅1厨2卫,高楼层 (共32层),['共32层'],有,精装,115.95㎡,南,普通住宅,35,2018-09-23,249,21475,1.022326954203561
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102125572.html,清江山水 2室2厅 181万,2室2厅1厨1卫,高楼层 (共32层),['共32层'],有,其他,88.85㎡,南,普通住宅,4,2019-05-05,181,20372,0.9698181471960392
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102003458.html,清江山水正规两房，婚房装修，诚心出售,2室2厅1厨1卫,中楼层 (共32层),['共32层'],有,精装,88㎡,南,普通住宅,23,2019-04-08,182,20682,0.9845758354755784
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101100294.html,清江山水精装修两房，适合刚需，诚心出售,2室2厅1厨1卫,中楼层 (共11层),['共11层'],有,简装,71.85㎡,南,普通住宅,103,2018-07-10,152,21156,1.0071408169094545
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101613089.html,清江山水好房闪亮登场，婚房装修。,4室2厅1厨2卫,高楼层 (共10层),['共10层'],有,精装,141.47㎡,南,普通住宅,26,2018-12-10,368,26013,1.2383604684375893
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102194511.html,清江山水 3室2厅 256万,3室2厅1厨1卫,高楼层 (共32层),['共32层'],暂无数据,其他,108㎡,南 北,普通住宅,3,2019-05-17,256,23704,1.128439493478054
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101615102.html,清江山水3+1的户型 中间楼层 进门带大阳台,4室2厅1厨2卫,中楼层 (共32层),['共32层'],有,简装,106.2㎡,南 北,普通住宅,50,2018-12-11,230,21658,1.0310387508330954
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104100903071.html,光谷软件园 清江山水 两证两年 诚心出售,3室2厅1厨2卫,高楼层 (共11层),['共11层'],有,简装,128.66㎡,南 北,普通住宅,109,2018-04-05,250,19432,0.9250690278967914
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101743693.html,清江山水 南向一居室  满五年 看房方便,1室1厅1厨1卫,中楼层 (共11层),['共11层'],有,简装,45.58㎡,南,普通住宅,25,2019-02-11,103,22598,1.0757878701323431
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101223735.html,电梯洋房 业主自住装修 两证满两年,4室2厅1厨2卫,中楼层 (共6层),['共6层'],无,精装,142.8㎡,南,普通住宅,8,2018-08-22,400,28012,1.3335237551175854
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102002503.html,精装自住三房 业主换房 采光无遮挡,3室2厅1厨1卫,中楼层 (共25层),['共25层'],有,精装,100.34㎡,南,普通住宅,5,2019-04-08,220,21926,1.0437970103779872
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102025151.html,清江山水精装三房，证满两年，诚心出售,3室2厅1厨1卫,低楼层 (共25层),['共25层'],有,精装,100.34㎡,南,普通住宅,15,2019-04-13,215,21428,1.0200894982385984
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101048835.html,清江山水一期  高楼层 两证两年无贷款 出行方便,4室2厅1厨2卫,高楼层 (共25层),['共25层'],有,精装,118.11㎡,东 东南 南,普通住宅,39,2018-06-19,248,20998,0.9996191564314958
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101207686.html,满两年中间位置 采光好 阳台主卧朝南户型 诚售,4室2厅1厨2卫,高楼层 (共25层),['共25层'],有,精装,118.11㎡,南 西,普通住宅,24,2018-08-16,245,20744,0.9875273731314862
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101390651.html,清江山水一期 小区中间 高层采光视野无遮挡,2室2厅1厨1卫,中楼层 (共25层),['共25层'],有,简装,89.76㎡,南,普通住宅,13,2018-10-05,185,20611,0.9811958488051034
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101569784.html,户型方正，三房朝南，随时看房，中高楼层,3室2厅1厨1卫,高楼层 (共25层),['共25层'],有,精装,100.34㎡,南 北,普通住宅,6,2018-11-27,233,23222,1.1054936684756735
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101472006.html,居家精装 业主置换 诚心出售 看房方便,2室2厅1厨1卫,低楼层 (共25层),['共25层'],有,简装,90.6㎡,南 北,普通住宅,34,2018-10-28,180,19868,0.9458250023802723
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102160439.html,清江山水 2室1厅 170万,2室1厅1厨1卫,高楼层 (共33层),['共33层'],有,简装,77.32㎡,南,普通住宅,1,2019-05-11,170,21987,1.046700942587832
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102095742.html,此房通风好，楼层好、业主居家自住装修，可以随时签约,3室2厅1厨2卫,高楼层 (共18层),['共18层'],有,简装,130.12㎡,南,普通住宅,2,2019-04-28,300,23056,1.0975911644292107
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101748139.html,带独立车库，南北通透，拎包入住，精装修，采光充足。,3室2厅1厨2卫,低楼层 (共25层),['共25层'],有,精装,134.1㎡,南 北,普通住宅,2,2019-02-12,350,26100,1.2425021422450728
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101537585.html,3.3期大两房 诚心出售 看房方便 高层采光视野无遮挡,2室1厅1厨1卫,高楼层 (共32层),['共32层'],有,简装,88.85㎡,南,普通住宅,8,2018-11-16,182,20484,0.9751499571550986
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102090813.html,清江山水  一室一厅  满两年  看房方便,1室1厅1厨1卫,中楼层 (共11层),['共11层'],有,简装,37㎡,南,普通住宅,6,2019-04-27,90,24325,1.1580024754831952
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101426149.html,清江山水 湖景房 全南户型 中间楼层 精装修,2室2厅1厨1卫,中楼层 (共18层),['共18层'],有,精装,85.85㎡,南,普通住宅,19,2018-10-14,199,23180,1.1034942397410263
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101219132.html,光谷软件 清江山水 精装两房 诚心出售,2室2厅1厨1卫,中楼层 (共32层),['共32层'],有,精装,87.73㎡,南,普通住宅,67,2018-08-20,170,19378,0.9224983338093878
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101395720.html,清江山水一期  中间楼层 业主诚心卖,2室2厅1厨1卫,中楼层 (共11层),['共11层'],有,简装,87.78㎡,南,普通住宅,19,2018-10-06,177,20165,0.9599638198609921
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101786709.html,清江山水  满五唯一 随时看房，随时看房,2室2厅1厨2卫,中楼层 (共11层),['共11层'],有,简装,101㎡,南 北,普通住宅,5,2019-02-21,205,20298,0.9662953441873751
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101988298.html,清江山水 .两证满两年.户型方正.后期交易 方便快捷.,2室2厅1厨1卫,高楼层 (共11层),['共11层'],有,精装,100.36㎡,南 北,普通住宅,6,2019-04-05,205,20427,0.9724364467295059
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104102091755.html,清江山水30万精装修带暖气末入住 满五唯一 采光无遮挡,3室2厅1厨1卫,中楼层 (共25层),['共25层'],有,精装,89.91㎡,南,普通住宅,3,2019-04-27,220,24469,1.1648576597162716
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101702636.html,清江精装小三居业主自住装修看房方便,3室2厅1厨1卫,高楼层 (共33层),['共33层'],有,精装,86㎡,南 北,普通住宅,35,2019-01-11,180,20931,0.9964295915452728
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101569803.html,清江山水大3房，房龄新，装修好，前后无遮挡，公摊小,3室1厅1厨2卫,高楼层 (共18层),['共18层'],有,毛坯,130㎡,南 北,普通住宅,8,2018-11-27,310,23847,1.1352470722650672
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101873388.html,3.1期精装两居室业主诚心出售,2室1厅1厨1卫,中楼层 (共32层),['共32层'],有,精装,80㎡,南,普通住宅,54,2019-03-12,165,20625,0.9818623250499857
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101886402.html,清江山水舒适四房，自住精装修，诚心出售,4室2厅1厨2卫,低楼层 (共32层),['共32层'],有,精装,106.2㎡,南,普通住宅,21,2019-03-14,230,21658,1.0310387508330954
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101493794.html,清江山水 中间楼层 两证两年 业主诚心出售,2室2厅1厨1卫,低楼层 (共33层),['共33层'],有,简装,84.7㎡,南,普通住宅,5,2018-11-03,175,20662,0.9836237265543178
